dataset,id,seed,severity,truth,fault_k,budget,bacd_exact,bacd_f1,bacd_probes,bacd_confidence,random_probe_exact,random_probe_f1,shapley_exact,shapley_f1,exhaustive_probes
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,E,1,4,1,1.0,4,0.9999228183336708,1,1.0,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,S+R,2,4,1,1.0,3,0.9142336461520691,0,0.8,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,R+E,2,4,0,0.0,4,0.7607229873092142,0,0.0,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,E+A,2,4,0,0.6666666666666666,4,0.8124998249979546,0,0.6666666666666666,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,S+R+E,3,4,1,1.0,3,0.9756701765277044,0,0.6666666666666666,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,R+E+A,3,4,0,0.0,4,0.7316017846407281,0,0.8,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,E+A+G,3,4,0,0.8571428571428571,4,0.9307866733581345,1,1.0,0,0.6666666666666666,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,R+E+A+G,4,4,1,1.0,4,0.9307866733581345,1,1.0,0,0.75,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,S+R,2,4,1,1.0,3,0.9142336461520691,1,1.0,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,S+R+E,3,4,0,0.8,3,0.9142336461520691,0,0.8,0,0.6666666666666666,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,R+E+A,3,4,1,1.0,4,0.6386003470448214,1,1.0,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.8,1,1.0,32
hotpotqa,5a8205b755429926c1cdadee,13,0.25,R+E+A+G,4,4,1,1.0,4,0.8833867037974126,1,1.0,0,0.75,32
hotpotqa,5a74325055429979e28828b3,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,S+R,2,4,1,1.0,3,0.9142336461520691,1,1.0,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5a74325055429979e28828b3,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,S+R+E,3,4,0,0.8,3,0.9142336461520691,0,0.8,0,0.6666666666666666,32
hotpotqa,5a74325055429979e28828b3,13,0.25,R+E+A,3,4,1,1.0,4,0.6386003470448214,0,0.5,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.8,1,1.0,32
hotpotqa,5a74325055429979e28828b3,13,0.25,R+E+A+G,4,4,1,1.0,4,0.8833867037974126,1,1.0,0,0.75,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,0,0.0,1,1.0,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,S+R,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,A+G,2,4,0,0.6666666666666666,4,0.42085384455119657,0,0.6666666666666666,1,1.0,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,S+R+E,3,4,0,0.5,3,0.9118138896028464,0,0.5,0,0.6666666666666666,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,R+E+A,3,4,0,0.8,4,0.870184930629493,0,0.5,1,1.0,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,E+A+G,3,4,0,0.5,4,0.42085384455119657,0,0.5,1,1.0,32
hotpotqa,5a81a4335542990a1d231e38,13,0.25,R+E+A+G,4,4,0,0.5714285714285715,4,0.400548444314606,1,1.0,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,S+R,2,4,1,1.0,3,0.9142336461520691,1,1.0,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,S+R+E,3,4,0,0.8,3,0.9142336461520691,1,1.0,0,0.6666666666666666,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,R+E+A,3,4,1,1.0,4,0.6386003470448214,1,1.0,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.8,1,1.0,32
hotpotqa,5ab67cf455429954757d3302,13,0.25,R+E+A+G,4,4,1,1.0,4,0.8833867037974126,1,1.0,0,0.75,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,E,1,4,1,1.0,4,0.9999228183336708,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,S+R,2,4,1,1.0,3,0.9545516109610958,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,R+E,2,4,0,0.0,4,0.7607229873092142,0,0.6666666666666666,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,E+A,2,4,1,1.0,4,0.9991405497476981,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,A+G,2,4,0,0.6666666666666666,4,0.5987531034662845,0,0.6666666666666666,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,S+R+E,3,4,1,1.0,3,0.9999999143222564,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,R+E+A,3,4,1,1.0,4,0.9903780706235862,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,E+A+G,3,4,0,0.6666666666666666,4,0.4105838800127807,1,1.0,1,1.0,32
hotpotqa,5a72abb95542992359bc3162,13,0.25,R+E+A+G,4,4,0,0.4,4,0.7963474186366634,1,1.0,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,S+R,2,4,1,1.0,4,0.8975077378947248,1,1.0,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,S+R+E,3,4,0,0.8,4,0.8975077378947248,0,0.6666666666666666,0,0.6666666666666666,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,R+E+A,3,4,1,1.0,4,0.7122262488989394,1,1.0,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.8,1,1.0,32
hotpotqa,5ac04a265542997d642959f1,13,0.25,R+E+A+G,4,4,0,0.8571428571428571,4,0.5669970928744025,1,1.0,0,0.75,32
hotpotqa,5a863ff0554299211dda2ac6,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5a863ff0554299211dda2ac6,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,0,0.0,1,1.0,32
hotpotqa,5a863ff0554299211dda2ac6,13,0.25,E,1,4,1,1.0,4,0.9999228183336708,1,1.0,1,1.0,32
hotpotqa,5a863ff0554299211dda2ac6,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
