model,n_test,auroc,auprc,f1,precision,recall
lexical,400,0.7895376047868716,0.6565148631217312,0.5863192182410424,0.4838709677419355,0.743801652892562
similarity,400,0.7507627595604136,0.5522816119013461,0.5942492012779552,0.484375,0.768595041322314
nli,400,0.6917562724014338,0.4614795766753121,0.5325443786982249,0.4147465437788018,0.743801652892562
full,400,0.7838502325305845,0.6460989109013514,0.5954692556634305,0.48936170212765956,0.7603305785123967
