dataset,severity,n,shapley_f1,delta_f1,random_f1,mcr_exact,cost_mcr_exact,active_f1,active_probes,exhaustive_probes,active_residual,pair_interaction,higher_interaction
2wikimultihopqa,0.4,924,0.9392135642135643,0.8225108225108225,0.4042207792207792,0.7640692640692641,0.7640692640692641,0.7535353535353535,7.590909090909091,32.0,0.12275703463203465,0.19045995670995672,0.11547077922077924
hotpotqa,0.4,990,0.9500841750841751,0.8271885521885521,0.40589225589225586,0.8363636363636363,0.8363636363636363,0.7418855218855219,7.706060606060606,32.0,0.14131397306397306,0.20635707070707074,0.13659898989898994
