profile,tolerance,n,ambiguous_rate,changed_rate,mean_absolute_saving,mean_relative_saving,residual
cloud_cost,0.01,22062,1.0,0.0009065361254645998,0.004215392983410389,0.0006623292399740591,0.0
cloud_cost,0.02,22062,1.0,0.0009065361254645998,0.004215392983410389,0.0006623292399740591,0.0
cloud_cost,0.05,22062,1.0,0.0009065361254645998,0.004215392983410389,0.0006623292399740591,0.0
equal,0.01,22062,1.0,0.0,0.0,0.0,0.0
equal,0.02,22062,1.0,0.0,0.0,0.0,0.0
equal,0.05,22062,1.0,0.0,0.0,0.0,0.0
latency,0.01,22062,1.0,0.0009065361254645998,0.002991569214033179,0.0005099265705738374,0.0
latency,0.02,22062,1.0,0.0009065361254645998,0.002991569214033179,0.0005099265705738374,0.0
latency,0.05,22062,1.0,0.0009065361254645998,0.002991569214033179,0.0005099265705738374,0.0
