budget,n,bacd_exact,bacd_f1,bacd_probes,random_probe_exact,random_probe_f1,shapley_exact,shapley_f1,exhaustive_probes
4,22062,0.5955035808176956,0.8121613979650423,3.560511286374762,0.6095548907623969,0.842379916339666,0.8318375487263168,0.9400704076390777,32.0
6,22062,0.7303961562868281,0.9135386853499445,4.222871906445472,0.695313208231348,0.8993937000056119,0.8318375487263168,0.9400704076390777,32.0
8,22062,0.762124920678089,0.9314185995311913,4.470356268697308,0.7397334783791134,0.9199770344181549,0.8318375487263168,0.9400704076390777,32.0
10,22062,0.7877798930287372,0.9369182520256766,4.546323996011241,0.7629408031910072,0.927997289025301,0.8318375487263168,0.9400704076390777,32.0
12,22062,0.7877798930287372,0.9369182520256766,4.547638473393165,0.775722962560058,0.9317332970718883,0.8318375487263168,0.9400704076390777,32.0
