run_id,query_id,pipeline_id,is_correct,total_error,interaction_term,dominant_fault,dominant_fault_confidence,phi_scope,phi_facts,phi_aggregation
f9a71f0daa7bd5c14ed28b4ec9db735f,9e67b8c3-e53d-50de-98b3-a644f3ebabe3,P3-wrong-aggregation,True,0.0,0.0,none,0.0,0.0,0.0,0.0
d3d976ed4d8f092fa0f0d24d8ff78a72,9e67b8c3-e53d-50de-98b3-a644f3ebabe3,P4-compound-scope-facts,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
bac1ffbcb12dbafa29f463c92f66259c,9e67b8c3-e53d-50de-98b3-a644f3ebabe3,P5-full-compound,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
a5ff96f32a64a551fe886345bafd737f,9e67b8c3-e53d-50de-98b3-a644f3ebabe3,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
18996cbecdf429b3b447f23a1dfeaf3f,1602ce87-6212-5860-afd1-e91b0fb69847,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
b29f4d5f760138caeacef13c74854d5b,1602ce87-6212-5860-afd1-e91b0fb69847,P1-wrong-scope,False,0.8,0.0,scope,0.4,0.4,0.4,0.0
03ecf3a1efc3dbd7c26ee1435fada02a,1602ce87-6212-5860-afd1-e91b0fb69847,P2-wrong-facts,True,0.0,0.0,none,0.0,0.0,0.0,0.0
b8eb5332b2c34794ef2f8503aa43cc21,1602ce87-6212-5860-afd1-e91b0fb69847,P3-wrong-aggregation,True,0.0,0.0,none,0.0,0.0,0.0,0.0
af343e94739943d0f80461b5af432cad,1602ce87-6212-5860-afd1-e91b0fb69847,P4-compound-scope-facts,False,0.8,0.0,scope,0.4,0.4,0.4,0.0
65f6497bafb87734bdc40aa1dd2bf9c0,1602ce87-6212-5860-afd1-e91b0fb69847,P5-full-compound,False,0.8,0.0,scope,0.4,0.4,0.4,0.0
cb56841e975db6acdffd3cf55132a139,1602ce87-6212-5860-afd1-e91b0fb69847,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
988b97a47f9e8b585815bc20f6c68e41,e5a8b401-b34e-5beb-bec9-76e64ca050e7,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
6a75e3f92e8bb342ee2a5a4712066758,e5a8b401-b34e-5beb-bec9-76e64ca050e7,P1-wrong-scope,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
