model,natural_failures,baseline_f1,R_f1,E_f1,RE_f1,repairable_fraction,residual_G_fraction,mean_phi_R,mean_phi_E,interaction_RE
Mistral-7B-Instruct-v0.3,76,0.14659718936034724,0.40467969498440415,0.256282314177051,0.5162729083781715,0.3684210526315789,0.631578947368421,0.2590365499125887,0.1106391691052356,0.0019080885770636463
Phi-4-mini-instruct,98,0.09078099902738739,0.15402463327275157,0.12089800511241235,0.146182492038765,0.01020408163265306,0.9897959183673469,0.04426406058585842,0.011137432425519199,-0.03795914731901152
Qwen2.5-3B-Instruct,82,0.02032520325203252,0.16747967479674797,0.19920634920634922,0.33699186991869917,0.2682926829268293,0.7317073170731707,0.1424699961285327,0.17419667053813395,-0.009368950832365466
