model,dataset,n,baseline_em,baseline_f1,R_f1,E_f1,RE_f1,natural_failure_rate,upstream_repairable_rate,residual_generation_failure_rate,mean_phi_R,mean_phi_E,mean_interaction_RE,mean_latency_s,mean_input_tokens,mean_output_tokens
Mistral-7B-Instruct-v0.3,2wikimultihopqa,50,0.14,0.2583333333333333,0.4280729601782233,0.22554545454545455,0.4940548340548341,0.82,0.28,0.54,0.21912450317713475,0.01659699754436596,0.09876975266448952,9.899024049279996,1417.72,117.2
Mistral-7B-Instruct-v0.3,hotpotqa,50,0.26,0.4284943944943945,0.4590401761980709,0.4805750915750916,0.5962037962037963,0.7,0.28,0.42,0.07308724316619053,0.09462215854321117,0.0850829229250282,10.685762982020169,1562.56,126.76
Phi-4-mini-instruct,2wikimultihopqa,50,0.0,0.10414461727896589,0.1450987448000941,0.08363025191783958,0.12844191767971458,0.98,0.0,0.98,0.04288289664150161,-0.01858559624075294,0.0038575382407467695,21.724046563999963,1285.94,331.7
Phi-4-mini-instruct,hotpotqa,50,0.02,0.11092899795757051,0.18158953641449893,0.15666317143582195,0.16140910004959813,0.98,0.02,0.96,0.03770323353535231,0.012776868556675335,-0.06591460984315221,23.306827673980116,1422.08,353.02
Qwen2.5-3B-Instruct,2wikimultihopqa,50,0.12,0.13,0.18933333333333333,0.2033333333333333,0.33044444444444443,0.88,0.18,0.7,0.09322222222222223,0.10722222222222222,0.06777777777777777,9.985000120480045,1292.62,120.68
Qwen2.5-3B-Instruct,hotpotqa,50,0.22,0.2604761904761905,0.38247619047619047,0.41003174603174597,0.4888888888888889,0.76,0.26,0.5,0.10042857142857142,0.12798412698412698,-0.04314285714285714,9.578427118979993,1399.04,113.74
