model,n,baseline_em,baseline_f1,R_f1,E_f1,RE_f1,natural_failure_rate,upstream_repairable_rate,residual_generation_failure_rate,mean_phi_R,mean_phi_E,mean_interaction_RE,mean_latency_s,mean_input_tokens,mean_output_tokens
Mistral-7B-Instruct-v0.3,100,0.2,0.3434138639138639,0.44355656818814715,0.35306027306027304,0.5451293151293152,0.76,0.28,0.48,0.14610587317166263,0.05560957804378857,0.09192633779475885,10.292393515650083,1490.14,121.98
Phi-4-mini-instruct,100,0.01,0.1075368076182682,0.16334414060729652,0.12014671167683076,0.14492550886465635,0.98,0.01,0.97,0.04029306508842696,-0.0029043638420388042,-0.031028535801202718,22.51543711899004,1354.01,342.36
Qwen2.5-3B-Instruct,100,0.17,0.19523809523809527,0.28590476190476194,0.30668253968253967,0.4096666666666667,0.82,0.22,0.6,0.09682539682539681,0.1176031746031746,0.012317460317460317,9.78171361973002,1345.83,117.21
