model,n,baseline_f1,RE_f1,mean_f1_improvement,wilcoxon_W,wilcoxon_p,EM_improved_cases,EM_degraded_cases,paired_exact_p
Mistral-7B-Instruct-v0.3,100,0.34341386391386386,0.5451293151293151,0.20171545121545123,1565.5,0.0008725344506056304,24,8,0.0070003666914999485
Phi-4-mini-instruct,100,0.10753680761826821,0.14492550886465635,0.03738870124638816,1760.0,0.008443851284377968,1,1,1.0
Qwen2.5-3B-Instruct,100,0.19523809523809527,0.4096666666666667,0.21442857142857144,1441.0,0.0001220296446648181,19,4,0.002599477767944336
