model,n,baseline_f1,RE_f1,mean_f1_improvement,wilcoxon_W,wilcoxon_p,EM_improved_cases,EM_degraded_cases,paired_exact_p
Mistral-7B-Instruct-v0.3,100,0.3434138639138638,0.5451293151293151,0.2017154512154512,1565.5,0.0008725344506056,24,8,0.0070003666914999
Qwen2.5-3B-Instruct,100,0.1952380952380952,0.4096666666666667,0.2144285714285714,1441.0,0.0001220296446648,19,4,0.0025994777679443
