model,metric,mean,ci95_low,ci95_high
Mistral-7B-Instruct-v0.3,f1_baseline,0.3434138639138638,0.2648766636141636,0.4270652639027639
Mistral-7B-Instruct-v0.3,f1_R,0.4435565681881471,0.3627307814992025,0.5222539005341637
Mistral-7B-Instruct-v0.3,f1_E,0.353060273060273,0.2757886863136863,0.4340787254412254
Mistral-7B-Instruct-v0.3,f1_RE,0.5451293151293151,0.4594525613275613,0.6273867465867464
Qwen2.5-3B-Instruct,f1_baseline,0.1952380952380952,0.125,0.2785892857142856
Qwen2.5-3B-Instruct,f1_R,0.2859047619047619,0.202997619047619,0.3770583333333333
Qwen2.5-3B-Instruct,f1_E,0.3066825396825396,0.2257670634920634,0.3934900793650793
Qwen2.5-3B-Instruct,f1_RE,0.4096666666666667,0.3197777777777777,0.5028944444444444
